,Unnamed: 0,uid,player_idx,launch_id,mech,period,contr_nrmd,contr_oth_nrmd,pool_nrmd,action,offer,reward,pool,others_action_mean,others_offer_mean,completed,cluster
1293,1293,17017594_p0,0,17017594,Mixed Baseline Exp 1,14,0.6469002961480194,0.6883344638705639,0.3500055313110352,12.0,18.549999237060547,6.549999237060547,70.00110626220703,12.0,17.14999993642171,True,2
1294,1294,17017594_p0,0,17017594,Mixed Baseline Exp 1,15,0.7142857467236177,0.6788359841755512,0.3360055160522461,12.0,16.799999237060547,4.799999237060547,67.20110321044922,11.666666666666666,16.799999872843426,True,2
1295,1295,17017594_p0,0,17017594,Mixed Baseline Exp 1,16,0.7218045112781954,0.6949207359092084,0.3290055084228516,12.0,16.625,4.625,65.80110168457031,11.666666666666666,16.391666412353516,True,2
1296,1296,17017594_p0,0,17017594,Mixed Baseline Exp 1,17,0.7218045112781954,0.6949207359092084,0.3290054702758789,12.0,16.625,4.625,65.80109405517578,11.666666666666666,16.391666412353516,True,2
1297,1297,17017594_p0,0,17017594,Mixed Baseline Exp 1,18,0.7819548872180451,0.6949207359092084,0.3290054321289062,13.0,16.625,3.625,65.80108642578125,11.666666666666666,16.391666412353516,True,2
1298,1298,17017594_p0,0,17017594,Mixed Baseline Exp 1,19,0.7428571428571429,0.6625452659846548,0.3360054016113281,13.0,17.5,4.5,67.20108032226562,11.333333333333334,16.56666628519694,True,2
1299,1299,17017594_p0,0,17017594,Mixed Baseline Exp 1,20,0.8658009229916609,0.6425057372519992,0.3290053939819335,15.0,17.32499885559082,2.3249988555908203,65.80107879638672,10.666666666666666,16.15833282470703,True,2
1300,1300,17017594_p0,0,17017594,Mixed Baseline Exp 1,21,0.8010680744681858,0.718926399469336,0.3290053939819335,15.0,18.725000381469727,3.725000381469727,65.80107879638672,11.666666666666666,15.691665649414062,True,2
1301,1301,17017594_p0,0,17017594,Mixed Baseline Exp 1,22,0.7792207792207793,0.649796201697837,0.3500054168701172,15.0,19.25,4.25,70.00108337402344,11.333333333333334,16.916666348775227,True,2
1302,1302,17017594_p0,0,17017594,Mixed Baseline Exp 1,23,0.7339449981616458,0.6282111064671714,0.3430054092407226,14.0,19.07499885559082,5.07499885559082,68.60108184814453,10.666666666666666,16.508333206176758,True,2
1303,1303,17017594_p0,0,17017594,Mixed Baseline Exp 1,24,0.7282913009624042,0.6491739661045351,0.3220054244995117,13.0,17.850000381469727,4.850000381469727,64.40108489990234,10.333333333333334,15.516666412353516,True,2
1304,1304,17017594_p0,0,17017594,Mixed Baseline Exp 1,25,0.7738095589505858,0.6339057470116741,0.3080054092407226,13.0,16.799999237060547,3.799999237060547,61.60108184814453,9.666666666666666,14.933333079020182,True,2
1305,1305,17017594_p0,0,17017594,Mixed Baseline Exp 1,26,0.7902736112095061,0.6707607875727919,0.2940054130554199,13.0,16.44999885559082,3.4499988555908203,58.801082611083984,9.666666666666666,14.116666158040363,True,2
1306,1306,17017594_p0,0,17017594,Mixed Baseline Exp 1,27,0.7902736112095061,0.6707607875727919,0.2940054321289062,13.0,16.44999885559082,3.4499988555908203,58.80108642578125,9.666666666666666,14.116666158040363,True,2
1307,1307,17017594_p0,0,17017594,Mixed Baseline Exp 1,28,0.7902736112095061,0.6707607875727919,0.2940054512023926,13.0,16.44999885559082,3.4499988555908203,58.80109024047852,9.666666666666666,14.116666158040363,True,2
1308,1308,17017594_p0,0,17017594,Mixed Baseline Exp 1,29,0.7902736112095061,0.6419007568064032,0.2940054702758789,13.0,16.44999885559082,3.4499988555908203,58.80109405517578,9.333333333333334,14.116666158040363,True,2
1309,1309,17017594_p0,0,17017594,Mixed Baseline Exp 1,30,0.7987711400741634,0.5738411769644088,0.2870054817199707,13.0,16.274999618530273,3.274999618530273,57.40109634399414,8.0,13.708333333333334,True,2
